Latein;Deutsch;Merkhilfe 
convenīre, conveniō;besuchen, zusammenkommen, zusammenpassen;Konvention, Konvent, konventionell
pārēre, pāreō;gehorchen, sich richten nach;parieren
aqua;Wasser;Aquarium, Aquädukt
posteā Adv.;nachher, später;
cibus;Nahrung, Speise;
praebēre, praebeō;geben, hinhalten;
bibere, bibō;trinken;f. boire
cōnsulere, cōnsulō ;m. Dat. sorgen für;e. to consult
post Präp. m. Akk. / Adv.;hinter, nach / dann, später;
ōrātiō, ōrātiōnis f;Rede;
habēre, habeō;haben, halten;Habit, e. to have
vōbīs Dat.;euch;f. vous
grātia;Ansehen, Beliebtheit, Dank, Gefälligkeit;Grazie, graziös, e. grace
grātiās agere;danken;
interesse, intersum m. Dat.;dazwischen sein, teilnehmen an;Interesse, sich interessieren
mōs, mōris m;"Sitte, Brauch; Pl. Charakter";Moral, moralisch
mōre Abl.;nach Sitte von, nach Art von;
māiōrēs, māiōrum m Pl.;Vorfahren;
sīcut Adv.;(so) wie;
gēns Aquīlia;die (adlige) Familie der Aquilier;Adlige
Larēs;die Laren;Gottheiten,die Haus und Familie beschützen
Capitōlium;das Kapitol;Einer der sieben Hügel Roms
Iuppiter;Jupiter;Höchster Gott der Römer
Iūnō;Juno;Gemahlin Jupiters
(esse, sum), fuī;sein, sich befinden;
mūnus, mūneris n;"Aufgabe; Geschenk";
posse, possum, potuī;können;potent
calamitās, calamitātis f;Unglück, Niederlage, Schaden;Kalamität, e. calamity
necāre, necō;töten;
marītus;Ehemann;f. mari
(audīre, audiō), audīvī;hören;
crēdere, crēdō;anvertrauen, glauben;Credo, Kredit
mihi Dat.;mir;
comes, comitis m/f;Gefährte, Begleiter(in);e. count, f. comte
mōns, montis m (Gen. Pl. -ium);Berg;Mount Everest, e. mount(ain)
multitūdō, multitūdinis f;große Zahl, Menge;e. multitude
vir, virī;Mann;
(petere, petō), petīvī;(auf)suchen, (er)streben, bitten, verlangen;
sē Akk.;sich;f. se
ubī Subj. m. Ind.;sobald;
iter, itineris n;Reise, Weg, Marsch;
iter facere;marschieren, reisen;
mūnīre, mūniō, mūnīvī;bauen, befestigen, schützen;
mūrus;Mauer;
sine Präp. m. Abl.;ohne;
perīculum;Gefahr;
vīvere, vīvō;leben;
urbs, urbis f (Gen. Pl. -ium);Stadt, Hauptstadt;Urbanisierung
egō (betont);ich;egoistisch, Egoismus
enim Adv. (nachgestellt);nämlich, in der Tat;
agmen, agminis n;(Heeres-)Zug;
hostis, hostis m (Gen. Pl. -ium);Feind (Landesfeind);
ā / ab Präp. m. Abl.;von, von ... her;
prohibēre, prohibeō, prohibuī (ā m. Abl.);abhalten (von), hindern (an);e. to prohibit, f. prohiber
īra;Zorn;
tēlum;(Angriffs-)Waffe, Geschoss;
corripere, corripiō, corripuī;ergreifen, gewaltsam an sich reißen;
ō(h);ach!, oh!;
frāter, frātris m;Bruder;Frater, e. brother, f. frère
lacrima;Träne;
tenēre, teneō, tenuī;besitzen, festhalten, halten;
frustrā Adv.;vergeblich;frustriert, Frustration
rīpa;Ufer;
servāre, servō (ā m. Abl.);bewahren, retten (vor);Kon-serve
alere, alō, aluī;ernähren, großziehen;„Alete“, Eltern
domum Adv.;nach Hause;
flēre, fleō, flēvī;beklagen, (be)weinen;flennen
nex, necis f;Mord, Tod;
(velle, volō), voluī;wollen;## +Perfekt##
(nōlle, nōlō), nōluī;nicht wollen;## +Perfekt##
(cupere, cupiō), cupīvī;verlangen, wünschen, wollen;## +Perfekt##
(dēpōnere, dēpōnō), dēposuī;ablegen, niederlegen, aufgeben;## +Perfekt##
Palātium(mōns Palātīnus);Palatin;einer der Hügel Roms
Tiberis, Tiberis m (Akk. Tiberim);Tiber;Fluss durch Rom
pōns, pontis m;Brücke;f. pont
dēfendere, dēfendō;verteidigen, abwehren, schützen;
(dēbēre, dēbeō), dēbuī;"müssen, sollen; schulden";Debitor
prīmum Adv.;erstens, zuerst, zum ersten Mal;
procul Adv.;von fern, weit weg;
deinde Adv.;dann, darauf;
postrēmō Adv.;schließlich;
propius Adv.;näher;
flūmen, flūminis n;Fluss;
quidem Adv.;freilich, gewiss, wenigstens, zwar;
mēcum (~ cum mē);mit mir;
putāre, putō;"glauben, meinen; m. dopp. Akk. halten für";Com-puter, Dis-put
mūnītiō, mūnītiōnis f;Bau, Befestigung;Munition
adhūc Adv.;bis jetzt, noch;
prōspicere, prōspiciō;schauen auf, sehen, vorhersehen;Prospekt
pūgnāre, pūgnō;kämpfen;
patria;Heimat;f. patrie
nē ... quidem;nicht einmal;
fidūcia;Vertrauen;
carēre, careō, caruī m. Abl.;frei sein von, etw. nicht haben;
circumvenīre, circumveniō;umringen, umzingeln;
cōnfīdere, cōnfīdō;vertrauen;f. confier
īnstituere, īnstituō;beginnen, einrichten, unterrichten;Institution, Institut
gladius;Schwert;Gladiator, Gladiole
repente Adv.;plötzlich;
adesse, adsum, adfuī;"da sein; helfen";
cōnstat;es ist bekannt, es steht fest;
(complēre, compleō), complēvī;anfüllen, erfüllen;
Horātius Cocles, Coclitis m;Horatius Cocles ;Held der römischen Frühzeit
Tuscī, Tuscōrum m Pl.; die Etrusker ;Toscana
Rōmānus, a, um;"römisch; Subst. Römer";
magnus, a, um;groß, bedeutend;„Magnum“
multus, a, um;viel;multiplizieren, multikulturell
multī, ae;viele;
multa n Pl.;viel(es);
multum Adv.;sehr, viel;
bonus, a, um;gut;Bon, Bonus, Bonbon, f. bon
prīmus, a, um;der erste;Primus, prima, Primaten
lūx, lūcis f;Licht, Tageslicht;Luzi-fer, e. light
prīmā lūce;bei Tagesanbruch (wann?);
occupāre, occupō;besetzen, einnehmen;okkupieren, Okkupation
vōx, vōcis f;Äußerung, Laut, Stimme;e. voice, f. voix
et ... et;sowohl ... als auch;
arma, armōrum n Pl.;Waffen, Gerät;Armee, Armatur, e. army
terrēre, terreō, terruī;erschrecken;Terror, Terrorist, e. terror
homō, hominis m;Mensch;Homo sapiens, f. homme
causa;Ursache, Sache, Prozess;Kausalsatz, e./f. cause
cōgnōscere, cōgnōscō, cōgnōvī;erkennen, kennenlernen;
scelus, sceleris n;"Verbrechen; Schurke";
rēx, rēgis m;König;
sors, sortis f (Gen. Pl. -ium);Los, Orakelspruch, Schicksal;Sorte
miser, misera, miserum;arm, erbärmlich, unglücklich;Misere, miserabel
māgnā vōce;mit lauter Stimme;
inquit (in die wörtliche rede eingeschobe);sagt(e) er;
colere, colō, coluī;"bewirtschaften, pflegen; verehren";
nox, noctis f (Gen. Pl. -ium);Nacht;e. night
multā nocte;in tiefer Nacht (wann?);
propter Präp. m. Akk.;wegen;
mors, mortis f (Gen. Pl. -ium);Tod;f. mort
expellere, expellō;vertreiben, verbannen;e. to expel
superbus, a, um;stolz, überheblich;
malus, a, um;schlecht, schlimm;
īgnōrāre, īgnōrō;nicht kennen, nicht wissen;Ignorant, e. to ignore
nōn īgnōrāre;genau wissen, gut kennen;
num (im dir. Fragesatz);etwa?;
sanguis, sanguinis m;Blut, Blutvergießen;f. sang
sī Subj.;falls, wenn;
tūtus, a, um (ā m. Abl.);sicher (vor);
tōtus, a, um (Gen. tōtīus Dat. tōtī);ganz;total, totalitär, e. total, f. tout
līberāre, līberō;befreien, freilassen;liefern, e. to liberate
timēre, timeō, timuī;Angst haben, fürchten;
ita Adv.;so;
ultimus, a, um;der äußerste, der entfernteste, der letzte;Ultimatum, ultima ratio, ultimativ
Tarquinius Superbus ; Tarquinius Superbus ;letzter König Roms
L. Iūnius Brūtus;Lucius Junius Brutus;Verschwörer gegen Tarquinius
Rōma;Rom;
Tarquiniī, ōrum m Pl.;die Tarquinier;
