Latein;Deutsch
cōgnōscere, cōgnōscō, cōgnōvī;erkennen, kennenlernen
ignōrāre, ignōrō;nicht kennen, nicht wissen
sors, sortis f (Gen. Pl. -ium);Los, Orakelspruch, Schicksal
magnā vōce;mit lauter Stimme
multus, a, um;viel
superbus, a, um;stolz, überheblich
Rōma;Rom
L. Iūnius Brūtus;Lucius Junius Brutus (Verschwörer gegen Tarquinius)
multī, ae;viele
multa n Pl.;viel(es)
homō, hominis m;Mensch
occupāre, occupō;besetzen, einnehmen
multā nocte;in tiefer Nacht (wann?)
prīmus, a, um;der erste
nōn ignōrāre;genau wissen, gut kennen
nox, noctis f (Gen. Pl. -ium);Nacht
sī Subj.;falls, wenn
Tarquiniī, ōrum m Pl.;die Tarquinier
Tarquinius Superbus;Tarquinius Superbus (letzter König Roms)
sanguis, sanguinis m;Blut, Blutvergießen
terrēre, terreō, terruī;erschrecken
scelus, sceleris n;Verbrechen; Schurke
arma, armōrum n Pl.;Waffen, Gerät
lūx, lūcis f;Licht, Tageslicht
bonus, a, um;gut
magnus, a, um;groß, bedeutend
inquit (in die wörtl. Rede eingeschoben);sagt(e) er
tōtus, a, um (Gen. tōtius, Dat. tōtī);ganz
expellere, expellō;vertreiben, verbannen
timēre, timeō, timuī;Angst haben, fürchten
malus, a, um;schlecht, schlimm
