Lektion 1;;;
c07-036;interesse, intersum m. Dat.;dazwischen sein, teilnehmen an;Interesse, sich interessieren
c07-037;mōs, mōris m;"Sitte, Brauch; Pl. Charakter";Moral, moralisch
c07-038;mōre Abl.;nach Sitte von, nach Art von;
c07-039;māiōrēs, māiōrum m Pl.;Vorfahren;
c07-040;sīcut Adv.;(so) wie;
c07-041;gēns Aquīlia;die (adlige) Familie der Aquilier;Adlige
c07-042;Larēs;die Laren;Gottheiten,die Haus und Familie beschützen
c07-043;Capitōlium;das Kapitol;Einer der sieben Hügel Roms
c07-044;Iuppiter;Jupiter;Höchster Gott der Römer
c07-045;Iūnō;Juno;Gemahlin Jupiters
Lektion 8;;;
c08-001;(esse, sum), fuī;sein, sich befinden;
c08-002;mūnus, mūneris n;"Aufgabe; Geschenk";
c08-003;posse, possum, potuī;können;potent
c08-004;calamitās, calamitātis f;Unglück, Niederlage, Schaden;Kalamität, e. calamity
c08-005;necāre, necō;töten;
c08-006;marītus;Ehemann;f. mari
c08-007;(audīre, audiō), audīvī;hören;
c08-008;crēdere, crēdō;anvertrauen, glauben;Credo, Kredit
c08-009;mihi Dat.;mir;
c08-010;comes, comitis m/f;Gefährte, Begleiter(in);e. count, f. comte
c08-011;mōns, montis m (Gen. Pl. -ium);Berg;Mount Everest, e. mount(ain)
c08-012;multitūdō, multitūdinis f;große Zahl, Menge;e. multitude
c08-013;vir, virī;Mann;
c08-014;(petere, petō), petīvī;(auf)suchen, (er)streben, bitten, verlangen;
c08-015;sē Akk.;sich;f. se
c08-016;ubī Subj. m. Ind.;sobald;
c08-017;iter, itineris n;Reise, Weg, Marsch;
c08-018;iter facere;marschieren, reisen;
c08-019;mūnīre, mūniō, mūnīvī;bauen, befestigen, schützen;
c08-020;mūrus;Mauer;
c08-021;sine Präp. m. Abl.;ohne;
c08-022;perīculum;Gefahr;
c08-023;vīvere, vīvō;leben;
c08-024;urbs, urbis f (Gen. Pl. -ium);Stadt, Hauptstadt;Urbanisierung
c08-025;egō (betont);ich;egoistisch, Egoismus
c08-026;enim Adv. (nachgestellt);nämlich, in der Tat;
c08-027;agmen, agminis n;(Heeres-)Zug;
c08-028;hostis, hostis m (Gen. Pl. -ium);Feind (Landesfeind);
c08-029;ā / ab Präp. m. Abl.;von, von ... her;
c08-030;prohibēre, prohibeō, prohibuī (ā m. Abl.);abhalten (von), hindern (an);e. to prohibit, f. prohiber
c08-031;īra;Zorn;
c08-032;tēlum;(Angriffs-)Waffe, Geschoss;
c08-033;corripere, corripiō, corripuī;ergreifen, gewaltsam an sich reißen;
c08-034;ō(h);ach!, oh!;
c08-035;frāter, frātris m;Bruder;Frater, e. brother, f. frère
c08-036;lacrima;Träne;
c08-037;tenēre, teneō, tenuī;besitzen, festhalten, halten;
c08-038;frustrā Adv.;vergeblich;frustriert, Frustration
c08-039;rīpa;Ufer;
c08-040;servāre, servō (ā m. Abl.);bewahren, retten (vor);Kon-serve
c08-041;alere, alō, aluī;ernähren, großziehen;„Alete“, Eltern
c08-042;domum Adv.;nach Hause;
c08-043;flēre, fleō, flēvī;beklagen, (be)weinen;flennen
c08-044;nex, necis f;Mord, Tod;
c08-045;(velle, volō), voluī;wollen;## +Perfekt##
c08-046;(nōlle, nōlō), nōluī;nicht wollen;## +Perfekt##
c08-047;(cupere, cupiō), cupīvī;verlangen, wünschen, wollen;## +Perfekt##
c08-048;(dēpōnere, dēpōnō), dēposuī;ablegen, niederlegen, aufgeben;## +Perfekt##
c08-049;Palātium(mōns Palātīnus);Palatin;einer der Hügel Roms
c08-050;Tiberis, Tiberis m (Akk. Tiberim);Tiber;Fluss durch Rom
Lektion 9;;;
c09-001;pōns, pontis m;Brücke;f. pont
c09-002;dēfendere, dēfendō;verteidigen, abwehren, schützen;
c09-003;(dēbēre, dēbeō), dēbuī;"müssen, sollen; schulden";Debitor
c09-004;prīmum Adv.;erstens, zuerst, zum ersten Mal;
c09-005;procul Adv.;von fern, weit weg;
c09-006;deinde Adv.;dann, darauf;
c09-007;postrēmō Adv.;schließlich;
c09-008;propius Adv.;näher;
c09-009;flūmen, flūminis n;Fluss;
c09-010;quidem Adv.;freilich, gewiss, wenigstens, zwar;
c09-011;mēcum (~ cum mē);mit mir;
c09-012;putāre, putō;"glauben, meinen; m. dopp. Akk. halten für";Com-puter, Dis-put
